	er-cv	name	ssn	weight	relationship	alt	trombocyty	hematokrit	indicator	ast	alp	leukocyty	erytrocyty	etytr	hemoglobin	hbver	smoker
0	78.56699	Anthony Jimenez	333-64-1123	15.76110	divoced	1.65351	5.63528	8.01736	0.00000	65.02434	47.76901	7.83628	4.86947	6.99561	4.79938	6.49599	yes
1	74.30939	Katrina Henry	070-27-2362	29.68284	married	4.24185	6.44273	5.30115	1.00000	33.94714	83.31624	5.66226	7.57419	6.98433	6.17203	5.51031	yes
2	74.76469	James Wright	780-96-6961	72.35611	single	1.37327	6.94290	6.21616	0.00000	48.12521	16.87901	3.92559	5.05230	8.90033	3.70336	7.27439	no
3	65.94408	Mikayla Martinez	075-19-9728	92.35049	widowed	4.29869	5.54264	7.28879	1.00000	41.49208	13.15951	4.55405	7.97588	7.38037	8.77214	6.99109	yes
4	52.15382	Elizabeth Ford	158-72-8664	82.79599	separated	2.24222	6.24041	6.18476	0.00000	64.99849	83.37123	5.72029	5.24884	5.34311	5.72834	6.01808	no
5	39.48543	Richard Snow	466-99-9963	103.55710	divoced	0.58132	5.72896	6.52053	1.00000	29.36926	26.09449	5.12429	5.00981	7.27108	4.20643	5.63513	yes
6	55.45642	Matthew Wallace	548-61-1376	50.44800	separated	2.05242	5.55308	6.23804	0.00000	21.64030	77.57577	5.92408	5.69832	7.98105	7.18460	6.25110	no
7	51.60111	Karen Olson	479-24-1477	59.87505	single	2.17782	5.11189	5.42683	0.00000	44.53412	80.26751	4.39512	3.42914	7.91267	5.71520	6.50663	no
8	65.88928	Andrew Weaver	259-71-8641	78.51972	divoced	2.01988	4.43647	6.79034	1.00000	48.32425	82.27911	5.48540	6.46538	7.19591	5.95432	5.12694	no
9	57.03311	Matthew Ortega	500-22-7436	33.19382	married	2.83042	4.98403	7.42682	1.00000	52.92533	78.66264	6.38382	6.77651	6.54670	5.62065	7.26973	Y
10	61.94405	Shawn Campbell	545-28-1077	57.07382	married	2.81304	7.38165	4.84614	1.00000	48.13242	34.51548	4.92977	4.81402	6.92801	4.45077	5.51838	yes
11	30.70788	Alicia Morgan	030-95-1302	-1.11693	separated	2.20855	7.29216	7.68802	1.00000	51.04704	63.28578	6.63655	6.76047	6.31928	7.55058	6.31683	no
12	54.88379	Justin Smith	612-28-7871	125.34165	divoced	1.73764	5.26043	6.09052	1.00000	52.47934	82.94598	8.71946	4.11583	7.90585	6.89794	7.36348	N
13	39.73475	Shawn Johnson	432-95-2781	81.27897	single	2.47506	5.45188	7.17517	1.00000	58.09353	80.15525	6.54945	6.86108	6.30753	5.60546	4.79327	Y
14	28.32630	John Colon	534-62-1019	106.32151	single	1.79443	6.00434	5.05924	0.00000	39.54052	53.97578	4.70950	4.44357	7.33012	4.96583	4.01392	no
15	39.65401	Raymond Rodriguez	745-97-2667	55.74571	married	6.99737	6.11106	5.64716	1.00000	49.42497	20.39070	2.99341	8.66898	9.44440	8.72213	5.78991	no
16	61.74124	Mary Walker	659-28-4756	44.21296	separated	4.55522	7.38045	6.52693	1.00000	55.71428	18.44359	5.64098	8.17327	6.78491	8.66964	6.08174	Y
17	45.63709	Savannah James	469-05-1007	61.05537	married	2.36382	5.31648	6.90127	1.00000	54.68866	70.60995	6.90883	6.22932	6.96687	5.28898	6.28162	yes
18	66.24008	Tracy Burgess	595-93-2235	103.92769	nop	5.17972	5.32512	7.87573	1.00000	38.01212	34.48946	4.56123	8.17409	8.15285	8.18810	6.04254	no
19	55.28898	Robert Edwards	845-72-3048	94.71808	divoced	1.83702	7.54815	5.98179	1.00000	43.04129	69.40362	4.59250	5.18560	7.17119	5.13058	5.47776	no
20	62.86690	Cynthia Lee	610-54-3785	101.72355	widowed	6.53740	7.03172	6.33863	1.00000	50.08369	11.12602	5.00376	8.43383	7.17786	9.22172	6.39980	yes
21	53.54260	Kimberly Hawkins	754-85-0367	34.23735	nop	3.25458	5.07036	4.34363	1.00000	53.85210	87.35736	6.63377	7.33444	7.22916	6.05526	7.28567	yes
22	54.92251	Hannah Thomas	185-46-6635	77.69212	separated	2.27318	5.21259	5.70775	1.00000	69.58534	75.51449	8.40290	4.27622	7.80985	5.43023	6.18262	no
23	51.38442	Elizabeth Herrera	150-98-3563	56.45756	single	2.99556	5.85185	6.54109	1.00000	16.42125	23.24094	6.15321	5.62411	8.43951	3.73966	7.05407	no
24	23.71027	William Sanchez	612-61-3318	91.13736	divoced	8.82786	4.55709	6.96521	1.00000	33.90739	40.36559	5.65559	8.95834	8.03077	8.29408	5.02667	no
25	50.07322	Mary Greer	208-08-0508	18.43613	divoced	5.18469	4.10221	6.57414	1.00000	60.86500	12.28859	2.95960	8.15317	8.83232	8.87384	7.53299	Y
26	13.95615	Linda Graham	236-93-5529	62.65221	divoced	4.26478	7.36159	7.07882	1.00000	17.78700	34.06730	5.22704	7.83415	7.06177	8.30990	8.05851	N
27	37.32634	Mark Phillips	629-06-3072	97.32761	married	0.83423	5.65797	6.50357	0.00000	40.99423	41.21364	4.40295	4.59382	7.91271	4.55084	7.84559	yes
28	46.05920	Brooke Wells	839-94-4771	98.21860	single	5.32536	8.26500	6.30547	1.00000	46.68450	18.01674	4.16020	8.19435	7.84540	8.92353	6.19711	no
29	74.32478	Ashley Anderson	158-51-7145	45.17437	married	2.43878	4.77491	7.19520	1.00000	37.20240	18.84167	7.40792	4.68167	7.65797	3.70802	7.52842	Y
30	74.36894	Shawn Alvarez	224-07-0801	91.89327	divoced	0.99967	5.65298	7.59828	1.00000	19.90079	64.24911	7.62186	4.89521	7.71334	5.25051	5.01242	no
31	50.09107	Jaclyn Harris	814-90-4038	107.04378	married	1.41980	5.64178	6.02399	1.00000	40.93606	66.17369	3.06048	4.72199	7.79534	5.17203	6.33075	no
32	53.69234	Jennifer Clements	134-14-6300	152.92391	married	1.64175	7.48721	6.90782	0.00000	45.49788	80.86916	3.36178	3.12814	3.99506	6.32484	7.16995	no
33	68.03286	Tammy Foster	223-43-6140	63.01715	married	1.86383	5.33111	5.35788	1.00000	48.77036	81.49252	7.20163	5.08111	7.79750	5.39948	7.13452	no
34	45.13046	Margaret Meza	808-45-4794	60.82698	nop	3.01607	5.81402	6.93241	0.00000	39.05896	72.31957	5.37411	5.88004	7.05270	7.26011	6.24223	no
35	36.25376	Seth Nicholson	436-17-0442	63.68371	nop	7.23729	5.75182	5.08393	1.00000	38.87345	37.32313	4.75224	8.59251	8.66751	8.02556	6.45607	no
36	59.66622	Evan Stephenson	375-40-2679	44.52462	separated	1.64994	5.72986	7.88977	1.00000	50.35462	46.39757	6.94237	5.37541	7.48960	4.47749	5.30887	no
37	58.55813	Deborah Lopez	867-19-6951	84.87382	married	2.38091	5.82863	7.19591	1.00000	44.26785	50.35634	7.75022	5.20530	7.05486	4.92027	6.29138	yes
38	81.02898	Christopher Leon	200-59-3881	10.36252	married	1.50085	6.56964	7.74743	0.00000	45.01055	11.39976	3.56933	4.58173	9.13967	3.57855	6.02576	no
39	51.12728	Veronica Anderson	172-79-0407	140.44145	divoced	4.17449	7.46805	5.62128	1.00000	40.75136	28.44432	5.91875	8.02203	6.48841	8.62170	5.55151	Y
40	58.49612	Sean Williams	565-23-0450	115.66879	widowed	2.62828	6.35894	7.33418	1.00000		79.75848	7.43970	6.03353	6.63269	6.22587	7.76908	no
41	47.33623	Audrey Munoz	003-28-2988	72.62216	divoced	2.93111	6.68409	5.60384	1.00000	55.96424	83.70804	5.67039	6.73809	6.65990	6.77800	6.20736	no
42	52.81628	Emily Burnett	685-40-9496	96.87005	widowed	17.73432	7.22644	5.73919	1.00000	31.78716	10.81311	4.62660	9.74628	8.80651	9.53687	5.86414	no
43	56.97507	John Gonzalez	563-26-7355	113.26027	nop	3.80946	5.11568	5.44708	1.00000	28.96491	79.36188	5.92796	7.60607	7.28564	7.06525	6.54063	no
44	31.10224	Mr. Christopher Bishop	443-23-6105	53.11071	divoced	1.93043	5.61624	5.98343	0.00000	63.28602	84.85175	6.06577	4.17785	5.69154	6.74264	6.66838	yes
45	71.28964	Robert Barr	602-83-4212	57.38491	married	3.48124	6.43452	6.22225	0.00000	63.66986	25.91387	6.04223	7.67758	7.56025	4.13324	6.80940	Y
46	47.81603	Tyler Moore	691-50-8326	115.14526	divoced	2.27772	8.13766	7.22007	1.00000	44.18954	16.57271	6.12970	5.12707	8.09507	3.55960	7.72174	no
47	71.04565	Michelle Davis	097-71-7540	36.67781	nop	1.63955	5.80448	6.33517	1.00000	50.30648	76.20166	7.18549	5.70502	6.23021	6.91700	6.60423	no
48	58.30326	Melissa Miller	132-54-1800	64.88936	married	2.04036	4.30112	6.85998	0.00000	45.52520	78.95255	5.84119	5.30668	5.13617	5.78074	6.46022	Y
49	66.68730	Samantha Woods	769-38-7245	14.65554	married	1.24668	4.83252	6.33212	1.00000	37.29593	49.79844	9.03184	4.34900	7.07289	7.86650	6.44786	no
50	53.52157	Michelle Williams	718-67-3111	28.97067	widowed	3.38061	7.42787	6.74650	1.00000	33.59338	41.31202	3.90114	7.58365	8.09742	8.02602	7.13230	yes
51	52.02677	Terry Williams	810-96-0831	79.10521	single	2.54472	6.38842	5.12095	1.00000	49.60885	77.94444	5.39266	5.84964	6.83309	5.63728	6.66373	yes
52	70.07215	Patricia Sims	643-01-2003	66.32301	single	5.84498	5.29658	5.56284	0.00000	60.41348	84.11726	8.08301	8.30839	4.88315	5.91896	6.17627	no
53	51.83504	Donna Hoffman	232-73-7114	87.53946	single	3.32079	7.21923	7.81668	0.00000	69.58968	20.53027	5.75721	7.56474	7.61183	3.90907	6.76563	no
54	51.36072	Sandra Craig	632-28-1386	20.87518	nop	1.56226	5.79361	5.67611	1.00000	53.66137	85.26758	8.86401	3.34727	8.07049	6.92704	8.44479	no
55	47.23038	Bradley Thomas	285-16-7089	85.61949	single	6.08316	7.82173	6.98518	1.00000	55.16015	7.50753	4.55184	8.38874	7.40982	9.29508	7.16496	yes
56	57.26907	Loretta Smith	864-12-8688	95.79746	married	2.25122	5.58218	6.73769	1.00000	39.32973	78.18775	5.53434	6.61140	6.53468	6.94388	5.32235	yes
57	52.46223	Austin Ross	603-96-6636	73.69556	divoced	1.50667	6.17007	5.87841	0.00000	61.20951	80.35046	4.63936	4.36807	6.05567	6.92399	6.64004	no
58	56.33204	Thomas Miller	324-84-8022	36.76840	divoced	3.28389	6.55149	6.88868	0.00000	52.48041	74.08156	6.67935	7.13991	7.96677	7.08129	5.30929	no
59	42.66374	Christopher Sims	752-60-8987	49.30018	single	1.89953	5.09658	5.73628	1.00000	60.10818	83.60608	8.13917	4.77730	7.08909	6.33532	4.19553	no
60	34.95933	Todd Parker	501-85-8617	144.71109	divoced	1.60451	3.97781	7.01263	1.00000	26.15185	15.94528	5.88600	6.00576	8.07250	3.17486	6.52953	no
61	54.40285	Dr. Sarah Henderson MD	166-15-2225	92.43724	widowed	2.05049	5.99369	6.83663	1.00000	43.22265	73.33272	8.21942	5.34141	6.52920	7.09461	6.08385	no
62	41.68218	Mary Hines	526-09-0085	103.01963	single	2.39699	7.06808	4.55568	0.00000	59.39083	23.14487	4.62518	5.43410	10.62739	9.77508	6.46681	no
63	72.90238	Samantha Forbes	761-19-3929	18.12657	widowed	1.57911	6.76498	5.66307	1.00000	52.11462	58.45512	8.17319	3.18074	8.26830	5.02321	7.46839	no
64	55.81096	Jennifer Robertson	168-36-0759	99.22640	separated	2.10845	7.48281	8.12822	0.00000	64.55272	70.52684	6.43277	5.63793	8.88934	7.28719	5.72253	no
65	51.22654	Kelly Bradley	266-93-8703	-7.49450	divoced	2.24693	5.45511	4.76049	1.00000	55.11380	13.42602	6.53381	5.34328	8.83092	3.00980	5.59199	no
66	42.47037	Clayton Young	676-97-6403	28.16865	nop	2.35228	5.87021	8.00931	1.00000	48.89697	51.73986	6.82157	5.30719	8.13582	4.86338	7.27815	Y
67	61.40002	Keith Peterson	001-89-3593	127.55236	widowed	8.37222	6.67932	8.11531	1.00000	60.43069	58.75726	5.78756	8.84003	8.36844	7.68601	4.92076	no
68	41.90902	Michael Thompson	807-62-8975	103.64105	married	0.54125	7.07498	7.31296	0.00000	40.88307	75.69186	4.63175	3.75197	7.34209	5.48512	7.59108	no
69	49.13467	Robert Brewer	591-53-5154	3.01642	married	17.26409	5.22105	5.21412	1.00000	71.27613	24.49966	4.01779	9.75753	8.69724	10.21678	4.35082	no
70	55.03613	Anthony Cook	407-86-5890	78.97324	divoced	1.85883	4.99720	6.59053	0.00000	59.18844	7.37487	4.10208	4.98302	9.55744	9.51728	6.70079	no
71	55.75537	John Barker	268-25-5779	33.47632	widowed	2.97088	4.50975	4.49183	1.00000	36.65759	79.68618	5.82343	6.84838	6.55911	6.94608	5.58309	Y
72	38.44746	Paul Rodriguez	689-37-3272	43.79108	single	1.97407	4.97735	4.87087	0.00000	75.31333	85.12937	5.48239	4.93444	6.69409	5.84302	7.11784	Y
73	57.42918	Joseph Cunningham	131-60-0033	29.15784	divoced	4.13715	6.70784	6.05754	1.00000	49.84213	67.09279	5.66926	7.72344	7.31069	7.44719	6.46174	no
74	36.14691	Mr. Paul Herrera	273-35-4249	108.74432	single	3.13520	6.95106	5.26260	1.00000	59.18780	67.08605	6.04395	7.43312	6.66625	7.37856	4.36759	yes
75	44.16085	Brianna Davis	735-79-2658	92.14120	widowed	2.10209	6.93586	5.41416	0.00000	31.19953	86.00611	4.74736	2.91434	7.06572	6.27265		no
76	44.44262	Joshua Woods	863-93-5463	111.81521	married	2.68770	7.05995	6.83669	1.00000	71.99935	27.12072	7.75946	4.50966	7.71094	3.97192	6.88798	no
77	44.18632	Don Barnes	623-52-8282	56.70642	nop	1.27255	6.07053	6.34159	0.00000	52.52364	82.23092	5.13694	5.64012	6.57755	5.88474	5.81028	Y
78	52.01530	Jorge Flores	193-26-5342	60.95190	single	4.18009	4.28359	6.64410	1.00000	59.60322	88.08082	6.12916	7.83720	7.70122	6.70100	6.61381	no
79	44.90908	Melanie Miller	895-76-8295	62.03889	single	6.43586	6.80573	5.58504	0.00000	51.94877	18.55794	6.13342	8.55291	7.46731	3.58907	4.75384	no
80	62.48267	John Montes	038-38-7294	84.15548	single	6.25816	6.77838	8.16183	1.00000	54.09293	33.12156	6.54046	8.57115	6.89565	8.30752	4.94148	Y
81	55.55006	Jill Morrison	203-51-9310	36.83915	single	1.76143	5.62472	6.03122	0.00000	6.14390	68.95751	5.62752	3.07122	6.08970	7.34384	5.31259	no
82	58.78931	Evan Davidson PhD	368-21-8138	98.03512	married	2.69007	7.10998	7.14037	1.00000	64.47035	67.04629	5.72334	7.19223	6.39396	5.29428	5.64256	yes
83	55.92905	Wendy Hammond	600-83-1475	-16.50762	married	2.60888	7.22403	5.23217	1.00000	51.33154	41.73146	6.52946	6.34747	6.40174	4.37843	4.97137	Y
84	32.76317	George Mcclain	336-41-0011	81.06425	nop	2.92057	6.30947	6.79811	1.00000	23.27217	76.67579	5.19195	6.09410	7.19173	5.74688	5.63966	no
85	38.18716	Kelly Boyd	686-26-1608	92.16166	divoced	2.01940	6.08283	8.27105	0.00000	57.38510	38.24246	5.24106	5.56516	8.63423	8.09385	6.09674	no
86	49.40699	Dr. Shane Palmer	604-10-3462	89.45437	separated	1.73492	6.35273	4.90134	0.00000	67.32394	84.57792	5.29190	5.27790	5.42746	6.00167	6.61718	no
87	39.66542	Crystal Washington	612-30-6746	134.98241	nop	2.51123	5.29237	6.86751	1.00000	44.45030	71.57814	3.91049	5.33065	7.78568	5.30510	7.52445	no
88	60.70552	Sarah Smith	822-58-0973	128.98984	nop	1.51328	4.57376	6.29936	1.00000	39.38173	79.69386	7.59028	5.35611	7.09514	5.64191	6.61751	Y
89	39.91035	Dustin Lynch	716-27-9851	46.50808	divoced	1.96699	7.02354	7.39879	1.00000	54.43083	89.67385	7.47164	4.72167	7.82346	5.93506	7.05530	no
90	63.77490	Stephanie Larson	142-79-4995	56.15620	divoced	2.90502	7.58490	7.09576	1.00000	46.55358	32.50301	5.33408	7.31063	7.28831	4.21318	5.81317	Y
91	62.33880	Sean Spencer	055-30-3156	59.41587	divoced	2.83180	5.77526	6.27899	1.00000	62.14077	74.35009	4.56160	6.82562	7.34718	7.22013	5.08174	no
92	70.05991	Denise Kaiser	673-80-6250	81.16321	divoced	2.38384	5.71416	4.95972	1.00000	43.53691	83.02456	4.23644	6.88451	8.35994	6.42724	7.20042	yes
93	53.66001	Kimberly Garcia	032-97-4309	74.77449	single	2.24366	6.18933	7.51340	0.00000	51.77138	21.34415	3.09415	3.12436	7.88276	9.01336	4.99375	Y
