	birthdate	current_location	blood_group	name	address	company	ssn	sex	race
0	2014/07/01	(Decimal('-82.621114'), Decimal('23.518377'))	B-	Sean Spencer	"95075 Schwartz Villages
North Gregory, CO 33865"	Morales-Brooks	055-30-3156	M	White
1	11/13/1944, 00:00:00	(Decimal('-20.9039775'), Decimal('-40.623255'))	AB-	Ashley Park	"396 Mary Run Apt. 286
Reedbury, MS 60715"	Lawson Group	729-30-0367	F	White
2	1914-12-05	(Decimal('25.127018'), Decimal('-104.955939'))	A-	Deborah Santiago	"936 Ebony Mount Apt. 735
Markbury, ME 18330"	Serrano PLC	511-45-0389	F	Black
3	07/07/2011, 00:00:00	(Decimal('38.9083155'), Decimal('-47.338828'))	B+	Janet Harmon	"2184 Jacob Springs Suite 501
Port Kevin, IA 50163"	Sandoval, Hammond and Stephens	539-72-3463	F	White
4	1968/05/17	(Decimal('-71.8557275'), Decimal('-98.202543'))	B-	William Brown	"0151 Diaz Brooks
North Christopherland, MT 71895"	Williams, Williams and Allen	150-69-6532	M	Black
5	24 Apr 1920	(Decimal('79.6213455'), Decimal('168.557825'))	A+	Michelle King	"028 Jeremy Branch Suite 722
West Meganside, IN 50164"	Becker-Johnson	299-37-2473	F	Hawaiian
6	1931/06/30	(Decimal('17.8565685'), Decimal('-114.847540'))	A+	Robin Moore	"11436 Davis Extension
Kyleburgh, OK 38042"	Ramsey-Simmons	037-84-0792	F	White
7	07/08/1971, 00:00:00	(Decimal('3.564582'), Decimal('60.074250'))	O+	Jessica Roberts	"7038 Ryan Field
Port John, MS 12612"	Hanna-Smith	431-40-5068	F	White
8	1970-12-26	(Decimal('-51.949115'), Decimal('-73.916965'))	A-	Tiffany Washington	"224 Goodman Valley
West Alexis, LA 15619"	Diaz Ltd	085-28-6422	F	White
9	08 Mar 1996	(Decimal('40.430609'), Decimal('-23.057033'))	AB+	Bryan Kennedy	"150 Hester Alley
Lake Jonathan, AL 04094"	Ortega, Brown and Figueroa	142-04-9767	M	White
10	10 Oct 1968	(Decimal('20.6156135'), Decimal('140.040766'))	A+	Jody Perez	"440 Kelly Mill
Port Davidmouth, NC 43358"	Barnes Ltd	222-71-0992	F	Asian
11	1912/12/24	(Decimal('-68.674829'), Decimal('-173.362410'))	AB-	Brittany Ramos	"Unit 5710 Box 0489
DPO AA 16737"	Stevens and Sons	741-57-1207	F	Asian
12	30 Apr 1983	(Decimal('79.1328105'), Decimal('-110.816485'))	AB-	Jonathan Reynolds	"17017 Mosley Curve
Harrisonchester, MA 12765"	Ramos-Wilson	878-75-4133	M	Asian
13	2021-09-14	(Decimal('-14.9444995'), Decimal('-170.356587'))	A+	Kiara Cardenas MD	"683 Shah Stravenue
Hutchinsonhaven, RI 20422"	Kim, Schneider and Marsh	796-39-1235	F	Black
14	03/01/1924, 00:00:00	(Decimal('23.1101565'), Decimal('14.305816'))	O+	Emily Hernandez	"02301 Ochoa Motorway
South Rodneyshire, WI 79032"	Valdez, Munoz and Whitaker	036-43-5747	F	Asian
15	02/08/1911, 00:00:00	(Decimal('84.7589665'), Decimal('-29.003469'))	O-	Jesse Anderson	"22598 Graham Ville
Port Micheleberg, CT 21575"	Gregory-Smith	223-81-4060	M	Asian
16	15 Nov 1933	(Decimal('82.1025185'), Decimal('168.309361'))	O-	Mary Saunders	"32489 Erica Stream
East Zachary, WA 79069"	Harvey-Graham	550-31-4115	F	White
17	27 Oct 1909	(Decimal('-45.349315'), Decimal('12.888305'))	B+	Thomas Wilson	"017 Lauren Drive
East James, DE 97696"	Odonnell-Alvarado	883-61-5559	M	Black
18	1927-07-19	(Decimal('8.0687295'), Decimal('-64.495252'))	B+	David Mason	"94295 West Meadows
East Robert, MN 19020"	Navarro-Jones	115-95-9488	M	White
19	12/21/1966, 00:00:00	(Decimal('60.0546835'), Decimal('23.319840'))	AB-	Suzanne Barton	"0428 Melanie Light
New Deborahfort, MT 74236"	Hoffman Ltd	760-02-8888	F	Black
20	1984-12-10	(Decimal('43.2511075'), Decimal('67.330689'))	A-	Jessica Morrison	"74780 Williams Springs
West Haley, CA 84167"	White Ltd	827-46-8851	F	White
21	2019/04/19	(Decimal('-10.9248835'), Decimal('-125.554826'))	B-	Deanna Coleman	"9151 Jonathan Burg Apt. 131
Wallaceberg, MN 76655"	Murphy-Nichols	144-96-5497	F	White
22	1985-08-24	(Decimal('43.456754'), Decimal('29.353575'))	O+	Robert Brewer	"USCGC Wallace
FPO AE 21504"	Galloway-Scott	591-53-5154	M	Asian
23	06/28/1917, 00:00:00	(Decimal('28.021442'), Decimal('119.567287'))	B-	Denise Clark	"58939 Craig Wells Apt. 298
North Spencer, MO 24991"	Andrews and Sons	706-62-3871	F	Black
24	1911/10/23	(Decimal('-38.904848'), Decimal('23.390380'))	AB+	Ryan Dyer	"2404 Williams Views
East Wesleytown, ME 97005"	Mcclain-Contreras	621-95-3382	M	White
25	1932/07/28	(Decimal('-22.8803185'), Decimal('70.028624'))	B-	Jimmy Shaffer	"0276 Christopher Rest
Katiehaven, PA 44299"	Mason, Martin and Wilson	691-37-8168	M	White
26	20 Apr 1957	(Decimal('69.982977'), Decimal('-64.374368'))	B-	Ryan Hall	"17241 Vincent Meadow
Port Elizabeth, WA 08219"	Richardson-Dixon	295-49-4894	M	White
27	08/07/1955, 00:00:00	(Decimal('-37.1607855'), Decimal('138.222068'))	A+	Kristine Clark	"1798 Huber Brook Apt. 639
South Katherineville, AZ 36812"	Horn-Trujillo	831-98-1275	F	White
28	05/30/1975, 00:00:00	(Decimal('-53.7458435'), Decimal('-147.385297'))	O+	Tony Adams	"5012 Stevenson Mission Apt. 746
Kimberlyburgh, CO 51189"	Cochran, Moran and Henderson	263-89-0053	M	White
29	1950-11-07	(Decimal('-84.9335325'), Decimal('167.170277'))	B-	Jo Clark	"PSC 0681, Box 7600
APO AA 16455"	Murphy-Rodgers	113-47-8334	F	Asian
30	1942/10/16	(Decimal('-85.776740'), Decimal('-78.367896'))	B+	Susan Bailey	"Unit 3814 Box 4835
DPO AE 54521"	Hall LLC	784-06-5006	F	Black
31	2016/05/27	(Decimal('-32.557255'), Decimal('-92.872765'))	A+	Brianna Miller	"PSC 5480, Box 0313
APO AE 21583"	Gardner-Black	214-80-3374	F	White
32	03/11/1914, 00:00:00	(Decimal('14.891222'), Decimal('71.252990'))	AB-	Annette Reynolds	"138 Lisa Inlet Suite 407
South Anna, KY 76600"	Taylor-Hunter	203-15-9839	F	White
33	05 Nov 1987	(Decimal('56.7326585'), Decimal('-44.047057'))	A-	Maria Martin	"7088 Thornton Bridge Apt. 908
Nicholasbury, AR 02227"	Mcintyre Ltd	553-43-8109	F	White
34	05/23/2009, 00:00:00	(Decimal('48.542061'), Decimal('33.253578'))	A+	Martha Vazquez	"USNS Parker
FPO AE 07280"	Brock LLC	877-04-9817	F	White
35	2005-02-19	(Decimal('43.5224205'), Decimal('-178.776045'))	O+	Ronnie Mcgrath	"8825 Nicole Rapid Apt. 535
South Robert, KS 65753"	Robertson PLC	819-37-0437	M	Asian
36	2013/09/10	(Decimal('-35.150535'), Decimal('-105.466015'))	B-	Marissa Taylor	"1789 Donald Parkway
New Cheryl, NM 27438"	Flores and Sons	637-75-9361	F	Black
37	1985/04/29	(Decimal('89.564615'), Decimal('-2.217937'))	AB-	Keith Reed	"4634 Jared Mission
Port Kyle, KY 81121"	Ruiz Inc	815-17-1748	M	White
38	1912/04/02	(Decimal('-5.081123'), Decimal('-162.421284'))	B+	Kathy Bender	"15212 David Isle
South Josephview, KS 75351"	Alexander Ltd	868-36-0621	F	Asian
39	19 Dec 1988	(Decimal('48.7378775'), Decimal('171.377631'))	B+	Heidi Jones	"4209 Jasmine Station Apt. 348
North Taraburgh, AZ 06236"	Rivera Group	232-85-2302	F	White
40	16 Mar 1918	(Decimal('-33.394134'), Decimal('-122.167348'))	AB-	William Lee	"Unit 5808 Box 4290
DPO AE 16565"	Duran-Fields	701-21-6074	M	Asian
41	03/22/1996, 00:00:00	(Decimal('-22.0326485'), Decimal('-48.517872'))	A+	Paul Rodriguez	"23153 Joseph Drives
South Robert, TN 52807"	Hamilton Group	689-37-3272	M	Black
42	1955-09-21	(Decimal('1.961991'), Decimal('23.149185'))	A-	Wendy Chavez	"57425 William Island
Lake Danielleside, AK 15142"	Mills, Melton and Hernandez	354-70-8357	F	black
43	1953-07-29	(Decimal('-26.7090655'), Decimal('-72.151664'))	O+	Jeffrey Young	"78034 Joy Branch Suite 078
Stewartton, DE 52521"	Williams, Moyer and Grant	706-20-0034	M	Black
44	1954-12-28	(Decimal('-37.472270'), Decimal('-174.671406'))	O+	Timothy Graves	"Unit 6141 Box 5188
DPO AE 28286"	Moore, Adams and Wade	196-32-9141	M	Asian
45	1928/10/10	(Decimal('-1.735713'), Decimal('-26.372096'))	AB+	Peter Larson	"494 Jason Stream Suite 140
Lake Angelastad, IL 94490"	David Ltd	614-70-6907	M	Black
46	1962-05-21	(Decimal('45.4047315'), Decimal('-0.231852'))	AB+	Alyssa Garrett	"953 Mack Courts Apt. 107
Lake Carloshaven, MI 05334"	Davis and Sons	773-99-1266	F	White
47	1971-04-11	(Decimal('-5.5465135'), Decimal('7.069178'))	B+	Tina Ramirez	"235 Gabrielle Ways Apt. 488
Andreachester, HI 89873"	Ramirez PLC	414-28-0147	F	Hawaiian
48	05 Jan 1986	(Decimal('26.8206805'), Decimal('147.430891'))	A-	Tonya Jones	"5695 Phillips Villages
North Cameronstad, KS 98642"	Hernandez-Curtis	021-72-3353	F	White
49	1916-03-26	(Decimal('-63.0661525'), Decimal('86.496858'))	AB-	Patrick Kent	"0282 Felicia Isle Suite 391
Brendaberg, WY 24207"	King Inc	436-69-6755	M	White
50	1946/04/22	(Decimal('57.266033'), Decimal('47.921199'))	O+	Mark Barber	"7580 Miller Fall Suite 297
Farmermouth, CT 53398"	Cook Ltd	097-58-1766	M	White
51	02 Dec 1952	(Decimal('-73.8332545'), Decimal('-42.325243'))	B+	Amanda Armstrong	"50615 Patrick Center
West Jeffrey, FL 65191"	Nguyen PLC	437-04-4001	F	White
52	06/19/1986, 00:00:00	(Decimal('29.346734'), Decimal('141.596842'))	O-	Kevin Martin	"628 Sharon Stream
East Kristenfort, MT 55031"	Anderson and Sons	203-44-0248	M	Black
53	03/09/1934, 00:00:00	(Decimal('13.565226'), Decimal('148.194954'))	A+	Gregory Harris	"85028 Rodney Road
East Michaelberg, OR 28476"	Holland Inc	290-07-7867	M	Black
54	2019/08/02	(Decimal('-74.8105415'), Decimal('176.890620'))	O-	William White	"55870 Moyer Stravenue
Greenbury, NC 70154"	Perez, Adams and Flores	516-75-5600	M	White
55	09 Feb 1909	(Decimal('85.651208'), Decimal('-21.943016'))	B+	Jose Jimenez	"39908 Smith Ways Apt. 588
East Donnaville, WI 66535"	Ortega and Sons	174-95-4184	M	Asian
56	09/30/1997, 00:00:00	(Decimal('-0.3325975'), Decimal('64.558460'))	AB-	George Mcclain	"8437 Shawn Place Suite 614
Jennaville, ME 52953"	Garcia, Jones and Vazquez	336-41-0011	M	White
57	1962-12-29	(Decimal('30.2646325'), Decimal('-76.414767'))	AB-	Sean Mcintosh	"93179 Matthew Crossroad Apt. 303
Jamiechester, ND 65652"	Shaffer, Jackson and Gardner	258-05-1137	M	White
58	1936/07/05	(Decimal('55.6055335'), Decimal('-177.066125'))	O+	Brianna Lin	"8001 Daniel Manor Suite 517
New Whitneyburgh, NH 64748"	Williams, Short and Davis	790-83-0957	F	White
59	11 Sep 1950	(Decimal('-26.4559495'), Decimal('72.510326'))	A+	Suzanne Jordan	"423 Nelson Spring
East Kristinamouth, WA 42641"	Leonard-Gutierrez	813-70-9309	F	White
60	26 Jan 1977	(Decimal('-83.693623'), Decimal('-106.821139'))	A-	Dr. Laura Zimmerman	"3092 Susan Station
Ferrellchester, MO 90292"	Anderson LLC	820-99-5437	F	White
61	1908-10-12	(Decimal('-24.253980'), Decimal('76.568009'))	A+	Seth Nicholson	"311 Jacob Groves
New Carol, AK 31477"	Porter-Cole	436-17-0442	M	Asian
62	04 Jun 1934	(Decimal('-46.3942145'), Decimal('-62.762610'))	O+	Curtis Kim	"638 George Rapid Apt. 957
Mahoneyside, KS 79278"	Castillo-Rodriguez	535-12-1187	M	Black
63	31 Mar 1956	(Decimal('-84.7533925'), Decimal('13.049559'))	AB+	Richard Anderson	"42891 Clay Points
Lake Amandaville, HI 12017"	Davis-Mclaughlin	435-94-0879	M	Black
64	1930-09-27	(Decimal('-3.3778145'), Decimal('-88.042703'))	AB+	Chris Rodriguez	"1198 Wood Manor Suite 933
Riceborough, WA 40753"	Porter and Sons	669-57-8657	M	White
65	1908-03-22	(Decimal('76.7766455'), Decimal('-152.192162'))	B+	Patricia Nunez	"289 Earl Shores Suite 252
East Gregory, NC 06218"	Vasquez, Parsons and Brown	663-64-3406	F	White
66	09/19/1930, 00:00:00	(Decimal('-50.562270'), Decimal('-114.354796'))	AB+	Danielle Vance	"PSC 4279, Box 7383
APO AE 85310"	Valenzuela-Kane	204-65-1026	F	White
67	01/23/1916, 00:00:00	(Decimal('71.9307745'), Decimal('-158.760276'))	A+	Samantha Woods	"007 Michelle Street
Taylorville, MT 77911"	Hancock-Williamson	769-38-7245	F	Asian
68	1973/06/10	(Decimal('-11.8481925'), Decimal('96.697648'))	A-	Terry Leblanc	"USCGC Conrad
FPO AE 65260"	Sanders-Hill	436-52-5045	M	Black
69	1988/05/30	(Decimal('-67.5729295'), Decimal('1.277100'))	A+	Juan Hendricks	"9746 Thompson Pass Suite 696
Owenburgh, TN 73194"	Sims, Fowler and Castro	094-27-6951	M	Black
70	28 Jan 1926	(Decimal('5.844393'), Decimal('12.979646'))	A+	Hannah Thomas	"4832 Gibbs Forge
New Melissa, ND 64269"	Meyer-Charles	185-46-6635	F	White
71	1917/08/09	(Decimal('-34.505057'), Decimal('-111.675456'))	AB-	Donna Taylor	"8026 Alvarado Pass
East Amanda, GA 09816"	Hill PLC	405-42-3616	F	white
72	1931-01-26	(Decimal('37.657578'), Decimal('159.311684'))	O-	Amy Jensen	"90101 Rebecca Lane
Port Jacob, IN 92367"	Smith PLC	894-84-3776	F	Indian
73	21 Mar 2020	(Decimal('63.0459005'), Decimal('51.281713'))	AB+	Jennifer Stanton	"3989 Nancy Tunnel Suite 232
North Brendanfurt, WI 30678"	Johnson PLC	168-97-0876	F	White
74	1926/10/26	(Decimal('58.586829'), Decimal('-60.084472'))	A-	Shawn Conway	"2367 Jacqueline Bridge
East Jamie, TX 15952"	Davis-Hanson	574-89-5551	M	Black
75	1998/01/03	(Decimal('-70.782749'), Decimal('-37.450815'))	B-	Andres Holder	"745 Thompson Locks
Frankshire, SC 20616"	Wallace, Fleming and Lopez	612-17-2859	M	White
76	1941/08/12	(Decimal('48.980553'), Decimal('113.064402'))	AB+	Heather Johnson	"1368 Combs Plains
Meaganland, ID 37860"	Shea, Payne and House	106-23-9554	F	White
77	1972-02-06	(Decimal('82.5124365'), Decimal('48.165951'))	B-	Rickey Lawson	"3371 Jordan Hills Suite 647
New Gabrielle, TX 87300"	Brown-Glenn	149-70-8352	M	White
78	08 Oct 2003	(Decimal('-54.263886'), Decimal('58.641662'))	A-	Michael Martinez	"4864 Anderson Harbor Suite 524
Port Andrewview, IA 59009"	Davis-Sanchez	882-22-8203	M	Black
79	1957/06/29	(Decimal('11.076477'), Decimal('3.446478'))	A+	Sean Smith	"823 Ferguson Extensions
North Rachelland, LA 32311"	Osborne, Moore and Jackson	610-09-3425	M	black
80	1981/12/01	(Decimal('1.8697515'), Decimal('-99.239846'))	B+	Rita Lambert	"5394 Randall Station
Prattfurt, NY 91185"	Martin-Griffith	682-02-7313	F	Black
81	1982/09/02	(Decimal('-57.6927395'), Decimal('177.083507'))	A+	Tracy Fleming	"PSC 9542, Box 0963
APO AP 45638"	Chen, Bennett and Rodriguez	713-76-4597	F	Indian
82	11 Dec 1945	(Decimal('-45.5003055'), Decimal('-53.868327'))	AB-	Amanda Hines	"25966 Rivers Lodge
Roberttown, CO 95362"	Kennedy, Simon and Reed	815-16-0639	F	White
83	1931/05/05	(Decimal('-89.922844'), Decimal('-94.454827'))	B+	Patrick Simpson	"780 Michael Lights
Lake Vincentport, MN 87709"	Mckinney-Lewis	678-36-2499	M	White
84	02/09/1968, 00:00:00	(Decimal('-75.459661'), Decimal('68.224096'))	AB-	Sara Nguyen	"PSC 5353, Box 0532
APO AA 53487"	Turner and Sons	347-29-3273	F	White
85	13 Apr 2001	(Decimal('-30.6034125'), Decimal('12.221487'))	AB+	Caitlin Jordan	"65272 Chen Shores Suite 015
North Jakeview, HI 52074"	Oneal, Black and Page	421-62-9662	F	Black
86	18 Oct 1982	(Decimal('-18.458671'), Decimal('-86.216005'))	A+	Brent Salinas	"79338 Mills Islands Apt. 940
Lake Vanessaburgh, LA 42986"	Stephens-Odonnell	048-88-9295	M	White
87	1975-02-07	(Decimal('45.8546345'), Decimal('-129.192493'))	B-	Ashley Thomas	"5304 Wendy Harbors
Vasquezside, MN 86252"	Lang, Pham and Ford	702-16-1761	F	White
88	1959-04-04	(Decimal('3.992136'), Decimal('-77.332569'))	O-	Joseph Reyes	"88987 Olson Stream
South Brett, MD 30366"	Foster, George and Keller	708-20-4024	M	Asian
89	08 Aug 1971	(Decimal('-20.165330'), Decimal('3.248736'))	A-	James Walker	"75158 Wayne Park Suite 251
Estradaland, NC 21275"	Huang-Hubbard	273-66-1120	M	White
90	26 Aug 1983	(Decimal('-82.8677795'), Decimal('175.834057'))	A-	Heather Williams	"530 Thomas Underpass Apt. 555
New Melissa, PA 68971"	Bailey, Oconnor and Anderson	654-44-6188	F	White
91	1972-02-15	(Decimal('-66.092469'), Decimal('98.262960'))	O-	Andrew Sanchez DDS	"755 Kendra Center Apt. 457
South Robertbury, TX 88333"	Garcia PLC	878-39-5615	M	Black
92	01 Jun 2003	(Decimal('27.5262465'), Decimal('-55.225622'))	O-	Jason White	"581 Townsend Groves
New Justin, DC 44835"	Moreno-Rivers	539-13-4035	M	White
93	1962-11-28	(Decimal('-56.166844'), Decimal('-68.667014'))	AB-	James Banks	"9318 Allison Spurs
East Danielchester, DC 77555"	Barrett, Petersen and Turner	255-37-2115	M	Black
94	07/04/1916, 00:00:00	(Decimal('-43.467633'), Decimal('-52.653545'))	O-	Aaron Williams	"679 Luis Roads
Scottborough, CA 09646"	Harper, Roach and Rivas	704-26-5542	M	Asian
95	2002/04/14	(Decimal('7.811626'), Decimal('147.902203'))	O+	Mary Harris	"0480 Martinez Fields
North Eric, CO 43056"	Butler-Baker	506-40-9743	F	black
96	03/31/1927, 00:00:00	(Decimal('-69.1883455'), Decimal('-39.692026'))	B+	Shelley Wilkinson	"05794 Betty River
Cervanteshaven, MT 62865"	Johnson-Caldwell	669-18-1669	F	White
